"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
4033,"Ábel                     ","utca",,0,,0,
4027,"Abigél                   ","utca",,0,,0,
4028,"Abonyi                   ","utca",,0,,0,
4030,"Áchim András             ","utca",,0,,0,
4032,"Aczél Géza","utca",,0,,0,
4031,"Ács                      ","utca",,0,,0,
4033,"Acsádi                   ","utca",,0,,0,
4033,"Ádám                     ","utca",,0,,0,
4032,"Ady Endre                ","sugárút",,0,,0,
4002,"Áfonya","utca",,0,,0,
4033,"Ág                       ","utca",,0,,0,
4002,"Agancs","utca",,0,,0,
4029,"Agárdi                   ","utca",,0,,0,
4028,"Ajtó                     ","utca",,0,,0,
4030,"Akácfa                   ","utca",,0,,0,
4002,"Akácméz","utca",,0,,0,
4002,"Akácvirág","utca",,0,,0,
4032,"Akadémia                 ","utca",,0,,0,
4225,"Alkotás                  ","utca","Józsa",0,,0,
4029,"Alkotmány                ","utca",,0,,0,
4002,"Állomás","utca",,0,,0,
4030,"Alma                     ","utca",,0,,0,
4002,"Almáskert","utca",,0,,0,
4030,"Álmos                    ","utca",,0,,0,
4033,"Alvinczi                 ","utca",,0,,0,
4032,"Andaházi                 ","utca",,0,,0,
4031,"Angyalföld               ","tér",,0,,0,
4002,"Ánizs","utca",,0,,0,
4025,"Antall József","utca",,0,,0,
4002,"Apafa",,,0,,0,
4033,"Apafája                  ","utca",,0,,0,
4028,"Apafi                    ","utca",,0,,0,
4002,"Apáterdő","utca",,0,,0,
4029,"Arad                     ","utca",,0,,0,
4025,"Arany János              ","utca",,0,,0,
4033,"Aranyeső","utca",,0,,0,
4225,"Aranykapu                ","utca","Józsa",0,,0,
4033,"Arasz                    ","utca",,0,,0,
4063,"Arató                    ","utca","Nagymacs",0,,0,
4002,"Árnika","utca",,0,,0,
4030,"Árnyas                   ","utca",,0,,0,
4002,"Árok","utca",,0,,0,
4033,"Árpa                     ","utca",,0,,0,
4028,"Árpád                    ","tér",,0,,0,
4034,"Árva                     ","utca",,0,,0,
4031,"Árvalányhaj","utca",,0,,0,
4034,"Asztalos                 ","utca",,0,,0,
4024,"Attila                   ","tér",,1,,2,
4029,"Attila                   ","tér",,-3,,0,
4028,"Aulich                   ","utca",,0,,0,
4032,"Babér                    ","utca",,0,,0,
4032,"Babits Mihály            ","utca",,0,,0,
4030,"Bádogos                  ","utca",,0,,0,
4025,"Bajcsy-Zsilinszky        ","utca",,0,,0,
4030,"Bajnok                   ","utca",,0,,0,
4033,"Bajonett","utca",,0,,0,
4225,"Bajza József             ","utca","Józsa",0,,0,
4002,"Bakator","utca",,0,,0,
4028,"Baksai Sándor            ","utca",,0,,0,
4031,"Balásházy János          ","utca",,0,,0,
4032,"Balassi Bálint           ","utca",,0,,0,
4030,"Balaton                  ","utca",,0,,0,
4033,"Bálint pap               ","utca",,0,,0,
4034,"Bálint Zoltán            ","utca",,0,,0,
4002,"Balmazújvárosi           ","út",,4,,6,
4002,"Balmazújvárosi           ","út",,1,,15,
4031,"Balmazújvárosi           ","út",,8,,14,
4030,"Balogh Mihály            ","utca",,0,,0,
4026,"Baltazár Dezső","tér",,0,,0,
4002,"Balzsamfű","utca",,0,,0,
4031,"Bán                      ","utca",,0,,0,
4032,"Bán Imre","utca",,0,,0,
4032,"Bán Imre","utca",,0,,0,
