"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
9012,"Aba Sámuel                    ","út","Ménfőcsanak",0,,0,
9025,"Achim András                  ","utca",,0,,0,
9026,"Ady Endre                     ","utca",,0,,0,
9011,"Áfonya","út","Győrszentiván",0,,0,
9025,"Akác                          ","tér",,0,,0,
9025,"Akác                          ","utca",,0,,0,
9026,"Áldozat                       ","utca",,0,,0,
9023,"Álmos                         ","utca",,0,,0,
9022,"Álom                          ","köz",,0,,0,
9025,"Alpár                         ","utca",,0,,0,
9021,"Amadé László                  ","utca",,0,,0,
9011,"Andrásvári                    ","út","Győrszentiván",0,,0,
9022,"Apáca                         ","utca",,0,,0,
9030,"Apály                         ","utca",,0,,0,
9021,"Apor Vilmos püspök            ","tér",,0,,0,
9021,"Aradi vértanúk                ","útja",,0,,0,
9021,"Arany János                   ","utca",,0,,0,
9029,"Aranyhomok                    ","utca",,0,,0,
9011,"Aranyos                       ","út","Győrszentiván",0,,0,
9028,"Arató                         ","utca",,0,,0,
9030,"Árkoskert                     ","utca",,0,,0,
9011,"Árnyas                        ","utca","Győrszentiván",0,,0,
9021,"Árpád                         ","út",,1,,47,
9021,"Árpád                         ","út",,2,,36,
9022,"Árpád                         ","út",,-3,,0,
9025,"Árvaház                       ","utca",,0,,0,
9011,"Árvalányhaj                   ","út","Győrszentiván",0,,0,
9026,"Árvíz                         ","utca",,0,,0,
9030,"Asbóth Sándor                 ","utca",,0,,0,
9023,"Attila                        ","utca",,0,,0,
9028,"Aulich                        ","utca",,0,,0,
9028,"Auróra                        ","utca",,0,,0,
9024,"Babits Mihály                 ","utca",,0,,0,
9026,"Bácsai                        ","út",,1,,177,
9026,"Bácsai                        ","út",,2,,180,
9029,"Bácsai                        ","út",,-3,,0,
9028,"Bagoly","utca",,0,,0,
9021,"Bajcsy-Zsilinszky             ","út",,1,,35,
9021,"Bajcsy-Zsilinszky             ","út",,2,,42,
9022,"Bajcsy-Zsilinszky             ","út",,-3,,0,
9028,"Bajnok                        ","utca",,0,,0,
9027,"Bajza                         ","utca",,0,,0,
9027,"Balassi Bálint                ","utca",,0,,0,
9025,"Bálint Mihály                 ","utca",,0,,0,
9028,"Balogh Ádám                   ","utca",,0,,0,
9029,"Bálvány                       ","utca",,0,,0,
9023,"Bán Aladár                    ","utca",,0,,0,
9028,"Banai                         ","út",,0,,0,
9011,"Barackos","út","Győrszentiván",0,,0,
9011,"Bárányréti                    ","út","Győrszentiván",0,,0,
9023,"Bárczi Gusztáv                ","utca",,0,,0,
9021,"Baross Gábor                  ","út",,1,,37,
9021,"Baross Gábor                  ","út",,2,,38,
9024,"Baross Gábor                  ","út",,-3,,0,
9023,"Bartók Béla","út",,0,,0,
9022,"Bástya                        ","utca",,0,,0,
9026,"Báthori                       ","út",,0,,0,
9022,"Batthyány                     ","tér",,0,,0,
9025,"Bécsi                         ","út",,0,,0,
9021,"Bécsi kapu                    ","tér",,0,,0,
9024,"Bécsi László                  ","utca",,0,,0,
9025,"Beér                          ","köz",,0,,0,
9025,"Béke                          ","utca",,0,,0,
9022,"Belváros                      ","köz",,0,,0,
9024,"Bem József                    ","tér",,0,,0,
9021,"Benczúr                       ","utca",,0,,0,
9029,"Benedek Elek                  ","utca",,0,,0,
9025,"Bercsényi                     ","liget",,0,,0,
9027,"Berkenyefa","sor",,0,,0,
9027,"Berzsenyi Dániel              ","utca",,0,,0,
9012,"Bezerédi                      ","út","Ménfőcsanak",0,,0,
9025,"Birkás                        ","köz",,0,,0,
9022,"Bisinger                      ","sétány",,0,,0,
9023,"Blaha Lujza                   ","utca",,0,,0,
9024,"Bocskai                       ","utca",,0,,0,
9030,"Bodzás                        ","utca",,0,,0,
9011,"Bogáncs","út","Győrszentiván",0,,0,
9029,"Boglárka                      ","utca",,0,,0,
9025,"Bokréta                       ","utca",,0,,0,
9027,"Bólyai Farkas                 ","utca",,0,,0,
9028,"Bornemissza                   ","utca",,0,,0,
9011,"Boróka","út","Győrszentiván",0,,0,
9028,"Borsóhelyi                    ","dűlő",,0,,0,
9024,"Borsos Miklós                 ","utca",,0,,0,
9025,"Botond                        ","utca",,0,,0,
9025,"Botos Lőrinc                  ","utca",,0,,0,
9028,"Brassói","utca",,0,,0,
9025,"Brigád                        ","utca",,0,,0,
9023,"Buda                          ","utca",,0,,0,
9027,"Budai                         ","út",,0,,0,
9025,"Budai Nagy Antal              ","utca",,0,,0,
9023,"Bulcsú                        ","utca",,0,,0,
9025,"Burcsellás                    ","köz",,0,,0,
9027,"Bútorgyári                    ","utca",,0,,0,
9028,"Búzakalász                    ","utca",,0,,0,
9011,"Búzavirág                     ","út","Győrszentiván",0,,0,
9025,"Bükk                          ","utca",,0,,0,
9027,"Bükkfa","utca",,0,,0,
9012,"Cédrus","út","Ménfőcsanak",0,,0,
9026,"Ciklámen                      ","utca",,0,,0,
9025,"Cinka Panna                   ","utca",,0,,0,
9022,"Cirkeli                       ","dűlő",,0,,0,
9023,"Cirkeli                       ","út",,0,,0,
9023,"Corvin                        ","utca",,0,,0,
9023,"Csaba                         ","utca",,0,,0,
9027,"Család                        ","utca",,0,,0,
9029,"Csalogány                     ","utca",,0,,0,
9012,"Csanakhegyi                   ","utca","Ménfőcsanak",0,,0,
9012,"Csanaki                       ","utca","Ménfőcsanak",0,,0,
9027,"Csavargyár                    ","utca",,0,,0,
9029,"Csemete                       ","utca",,0,,0,
9025,"Cser                          ","utca",,0,,0,
9012,"Cseresznyés","út","Ménfőcsanak",0,,0,
9021,"Csillag                       ","utca",,0,,0,
9025,"Csipkegyári                   ","út",,0,,0,
9024,"Csokonai                      ","utca",,0,,0,
9030,"Csonkaér                      ","út",,0,,0,
9012,"Csontváry                     ","utca","Ménfőcsanak",0,,0,
9027,"Csörgőfa","sor",,0,,0,
9029,"Csutora                       ","utca",,0,,0,
9024,"Cuha                          ","utca",,0,,0,
9025,"Cukrász                       ","köz",,0,,0,
9025,"Cziráky                       ","tér",,0,,0,
9022,"Czuczor Gergely               ","utca",,0,,0,
9026,"Damjanich                     ","utca",,0,,0,
9025,"Dankó Pista                   ","tér",,0,,0,
9027,"Debrecen                      ","utca",,0,,0,
9025,"Dél                           ","utca",,0,,0,
9024,"Dembinszky                    ","utca",,0,,0,
9011,"Dénestag                  ",,"Győrszentiván",0,,0,
9024,"Déry Tibor                    ","utca",,0,,0,
9011,"Déryné                        ","út","Győrszentiván",0,,0,
9024,"Dessewffy Aurél               ","utca",,0,,0,
9011,"Diák                          ","utca","Győrszentiván",0,,0,
9030,"Dinnyés                       ","utca",,0,,0,
9028,"Dobó                          ","utca",,0,,0,
9021,"Domb                          ","utca",,0,,0,
9029,"Dombhát                       ","utca",,0,,0,
9026,"Dózsa György                  ","rakpart",,0,,0,
9011,"Dózsa tag                 ",,"Győrszentiván",0,,0,
9030,"Dr. Élő Lajos","utca",,0,,0,
9012,"Dr. Sziráky M.","út","Ménfőcsanak",0,,0,
9027,"Dsida Jenő","utca","Városrét",0,,0,
9024,"Dugonics                      ","utca",,0,,0,
9026,"Duna                          ","utca",,0,,0,
9022,"Dunakapu                      ","tér",,0,,0,
9011,"Dunasor","út","Győrszentiván",0,,0,
9025,"Ecet                          ","utca",,0,,0,
9012,"Ecker János                   ","utca","Ménfőcsanak",0,,0,
9011,"Egressy Béni                  ","út","Győrszentiván",0,,0,
9027,"Egyenlőség                    ","utca",,0,,0,
9011,"Egysori                       ","út","Győrszentiván",0,,0,
9024,"Eőrsy Péter                   ","utca",,0,,0,
9021,"Eötvös                        ","tér",,0,,0,
9012,"Eper","út","Ménfőcsanak",0,,0,
9019,"Erdei                         ","út","Gyirmót",0,,0,
9028,"Erdélyi","utca",,0,,0,
9025,"Erdész                        ","utca",,0,,0,
9011,"Erdész ház                ",,"Győrszentiván",0,,0,
9011,"Erdőtelep                     ","telep","Győrszentiván",0,,0,
9025,"Erdőtelep                     ","utca",,0,,0,
9028,"Erfurti                       ","út",,0,,0,
9030,"Ergényi                       ","utca",,0,,0,
9025,"Erkel Ferenc                  ","utca",,0,,0,
9023,"Erzsébet                      ","liget",,0,,0,
9025,"Esze Tamás                    ","utca",,0,,0,
9023,"Eszperantó                    ","út",,20,,42,
9024,"Eszperantó                    ","út",,2,,18,
9027,"Esztergető                    ","utca",,0,,0,
9027,"Európa","sétány","Városrét",0,,0,
9011,"Ezerjó                        ","út","Győrszentiván",0,,0,
9028,"Farkas Márton                 ","utca",,0,,0,
9022,"Fazekas                       ","köz",,0,,0,
9023,"Fehérlaposi                   ","dűlő",,0,,0,
9023,"Fehérvári                     ","út",,1,,51,
9023,"Fehérvári                     ","út",,2,,62,
9028,"Fehérvári                     ","út",,-3,,0,
9012,"Fekete István                 ","utca","Ménfőcsanak",0,,0,
9011,"Felüljáró                     ","út","Győrszentiván",0,,0,
9011,"Fenyő                         ","utca","Győrszentiván",0,,0,
9030,"Fenyőszer                     ","utca",,0,,0,
9025,"Festő                         ","utca",,0,,0,
9024,"Fészek","út",,0,,0,
9012,"Forráskút                     ","út","Ménfőcsanak",0,,0,
9025,"Fő                            ","utca",,0,,0,
9023,"Földes Gábor                  ","utca",,0,,0,
9028,"Fuvaros                       ","utca",,0,,0,
9024,"Függvény                      ","utca",,0,,0,
9022,"Fürdő                         ","köz",,0,,0,
9030,"Füzes                         ","utca",,0,,0,
9028,"Gábor Áron                    ","utca",,0,,0,
9011,"Galagonya","út","Győrszentiván",0,,0,
9024,"Galamb                        ","utca",,0,,0,
