"IRSZ.","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
7622,"48-as","tér",,0,,0,
7691,"A.                  ","utca","Vasas",0,,0,
7635,"Abaligeti           ","út",,0,,0,
7633,"Acsády Ignác        ","utca",,0,,0,
7626,"Ady Endre           ","utca",,0,,0,
7634,"Áfonya","utca",,0,,0,
7632,"Ág                  ","utca",,0,,0,
7628,"Agancs","dülő",,0,,0,
7625,"Ágoston             ","tér",,0,,0,
7625,"Ágota               ","utca",,0,,0,
7632,"Aidinger János      ","út",,0,,0,
7633,"Ajtósi Dürer        ","utca",,0,,0,
7632,"Akác                ","utca",,0,,0,
7636,"Akácfa","köz",,0,,0,
7636,"Akácfa              ","dűlő",,0,,0,
7636,"Akácos              ","sor",,0,,0,
7629,"Aknász              ","utca",,0,,0,
7634,"Akó                 ","dűlő",,0,,0,
7624,"Alajos              ","utca",,0,,0,
7627,"Aligvárom           ","dűlő",,0,,0,
7623,"Alkony              ","utca",,0,,0,
7630,"Alkotás             ","utca",,0,,0,
7624,"Alkotmány           ","utca",,0,,0,
7635,"Állatkert",,,0,,0,
7634,"Állomás             ","utca",,0,,0,
7630,"Álmos               ","utca",,0,,0,
7633,"Alpári Gyula        ","utca",,0,,0,
7636,"Alsó                ","utca",,0,,0,
7626,"Alsóbalokány        ","utca",,0,,0,
7627,"Alsógyükési          ","út",,0,,0,
7626,"Alsóhavi            ","utca",,0,,0,
7634,"Alsó-Hegyi           ","dűlő",,0,,0,
7635,"Alsómakár           ","dűlő",,0,,0,
7622,"Alsó-malom          ","utca",,0,,0,
7627,"András              ","utca",,0,,0,
7630,"Andrássy            ","út",,0,,0,
7624,"Angster József      ","utca",,0,,0,
7635,"Ángyán János        ","utca",,0,,0,
7632,"Anikó               ","utca",,0,,0,
7621,"Anna                ","utca",,0,,0,
7625,"Antal               ","utca",,0,,0,
7625,"Antónia             ","utca",,0,,0,
7635,"Ányos Pál           ","utca",,0,,0,
7621,"Apáca               ","utca",,0,,0,
7632,"Apácai Csere János  ","körtér",,0,,0,
7629,"Apafi           ","utca",,0,,0,
7625,"Aradi Vértanúk      ","útja",,0,,0,
7628,"Arany János         ","utca",,0,,0,
7635,"Aranyhegyi          ","dűlő",,0,,0,
7625,"Aranyoskút          ","tér",,0,,0,
7631,"Aranyvessző         ","utca",,0,,0,
7630,"Arasz               ","utca",,0,,0,
7632,"Árnyas              ","út",,0,,0,
7634,"Árok                ","dűlő",,0,,0,
7628,"Árpád               ","utca",,0,,0,
7628,"Árpádtető",,,0,,0,
7634,"Árvácska            ","utca",,0,,0,
7634,"Ászok               ","dűlő",,0,,0,
7634,"Aszú                ","dűlő",,0,,0,
7623,"Athinay             ","utca",,0,,0,
7628,"Átjáró","út",,0,,0,
7623,"Atléta              ","utca",,0,,0,
7628,"Átlós","köz",,0,,0,
7624,"Attila              ","utca",,0,,0,
7628,"Auróra              ","utca",,0,,0,
7627,"Avar                ","utca",,0,,0,
7691,"B.                  ","utca","Vasas",0,,0,
7625,"Babits Mihály       ","utca",,0,,0,
7622,"Bacsó Béla          ","utca",,0,,0,
7635,"Bagoly              ","dűlő",,0,,0,
7622,"Bajcsy-Zsilinszky   ","utca",,0,,0,
7634,"Bajmi               ","dűlő",,0,,0,
7634,"Bajmi               ","köz",,0,,0,
7634,"Bajmi-tető          ","dűlő",,0,,0,
7623,"Bajnok              ","utca",,0,,0,
7630,"Bajor","utca",,0,,0,
7629,"Balassa Bálint      ","utca",,0,,0,
7693,"Balázs malom        ",,"Hird",0,,0,
7635,"Bálics              ","dűlő",,0,,0,
7624,"Bálicsi             ","út",,2,,20,
7624,"Bálicsi             ","út",,1,,27,
7635,"Bálicsi             ","út",,29,,73,
7635,"Bálicsi             ","út",,20,"a",58,
7635,"Bálics-tető         ","dűlő",,0,,0,
7628,"Baltika             ","utca",,0,,0,
7633,"Bánki Donát         ","út",,0,,0,
7627,"Bánom","köz",,0,,0,
7627,"Bánomi              ","út",,0,,0,
7628,"Bánya               ","utca",,0,,0,
7627,"Bányász             ","utca",,0,,0,
7628,"Bányász vértanúk    ","útja",,0,,0,
7691,"Bányatelep          ","telep","Vasas",0,,0,
7630,"Bányavasút","utca",,0,,0,
7635,"Barackos","köz",,0,,0,
7635,"Barackos            ","út",,0,,0,
7624,"Barackvirág         ","utca",,0,,0,
7624,"Bárány              ","út",,0,,0,
7635,"Bárány tető",,,0,,0,
7634,"Baranya             ","utca",,0,,0,
7630,"Baranyavár          ","utca",,0,,0,
7691,"Barát","köz","Vasas",0,,0,
7628,"Barátság            ","utca",,0,,0,
7625,"Barátúr             ","utca",,0,,0,
7630,"Barázda","köz",,0,,0,
7630,"Barázda             ","utca",,0,,0,
7624,"Barbakán            ","tér",,0,,0,
7627,"Bártfa              ","utca",,0,,0,
7624,"Bartók Béla         ","utca",,0,,0,
7630,"Basamalom           ","dűlő",,0,,0,
7630,"Basamalom           ","út",,0,,0,
7621,"Bástya              ","utca",,0,,0,
7624,"Báthory             ","utca",,0,,0,
7634,"Batifejtő           ","utca",,0,,0,
7624,"Batsányi            ","utca",,0,,0,
7622,"Batthyány           ","utca",,0,,0,
7634,"Bázis","köz",,0,,0,
7634,"Bázis","út",,0,,0,
7632,"Béke                ","utca",,0,,0,
7626,"Béla                ","utca",,0,,0,
7691,"Bencze József       ","utca","Vasas",0,,0,
7634,"Benczúr             ","utca",,0,,0,
7636,"Benke               ","dűlő",,0,,0,
7621,"Bercsényi           ","utca",,0,,0,
7632,"Berek               ","utca",,0,,0,
7626,"Béri Balogh Ádám    ","utca",,0,,0,
7691,"Berkenyés           ","utca","Vasas",0,,0,
7633,"Berze Nagy János (Dr.)   ","utca",,0,,0,
7632,"Berzsenyi Dániel    ","utca",,0,,0,
7627,"Besenyő             ","utca",,0,,0,
7625,"Bessenyei           ","utca",,0,,0,
7691,"Bethlen Gábor       ","utca","Vasas",0,,0,
7634,"Bíbic","dülő",,0,,0,
7633,"Bihari János        ","utca",,0,,0,
7632,"Bimbó               ","utca",,0,,0,
7627,"Bittner Alajos      ","út",,0,,0,
7627,"Blaha Lujza         ","utca",,0,,0,
7630,"Bóbita","utca",,0,,0,
7629,"Bocskai             ","utca",,0,,0,
7635,"Bocskor","dülő",,0,,0,
7693,"Bodormán","utca","Hird",0,,0,
7635,"Bodzás              ","köz",,0,,0,
7628,"Bogádi              ","út",,0,,0,
7632,"Bogár               ","utca",,0,,0,
7634,"Bogár               ","dűlő",,0,,0,
7630,"Boglárka            ","utca",,0,,0,
7635,"Bokály              ","dűlő",,0,,0,
7632,"Bókay János         ","utca",,0,,0,
7627,"Bokor               ","utca",,0,,0,
7632,"Bokréta             ","utca",,0,,0,
7625,"Boldizsár           ","utca",,0,,0,
7632,"Boldog Özséb        ","utca",,0,,0,
7634,"Boldogasszony-völgy       ",,,0,,0,
7634,"Bolgár              ","köz",,0,,0,
7621,"Boltív              ","köz",,0,,0,
7632,"Bolyai Farkas       ","utca",,0,,0,
7623,"Bolygó              ","utca",,0,,0,
7630,"Bor                 ","utca",,0,,0,
7627,"Borbálatelep","telep",,0,,0,
7624,"Bornemissza Gergely ","utca",,0,,0,
7634,"Boróka              ","dűlő",,0,,0,
7631,"Boros               ","utca",,0,,0,
7632,"Boross István  (Dr.)      ","utca",,0,,0,
7634,"Borostyán           ","utca",,0,,0,
7628,"Borz","dülő",,0,,0,
7625,"Bosnyák             ","utca",,0,,0,
7624,"Boszorkány          ","út",,0,,0,
7628,"Botond              ","utca",,0,,0,
7691,"Bózsa István        ","utca","Vasas",0,,0,
7625,"Böckh János         ","utca",,0,,0,
7634,"Brassó              ","utca",,0,,0,
7628,"Bródy Sándor        ","utca",,0,,0,
7624,"Budai Nagy Antal    ","utca",,0,,0,
7630,"Budai Vám",,,0,,0,
7624,"Buday Dezső         ","utca",,0,,0,
7630,"Bulgár              ","utca",,0,,0,
7626,"Búza                ","tér",,0,,0,
7691,"Búzaberki           ","dűlő","Vasas",0,,0,
7691,"Búzakalász          ","utca","Vasas",0,,0,
7629,"Búzavirág           ","utca",,0,,0,
7630,"Buzsáki Imre        ","utca",,0,,0,
7635,"Bükkös-Tető",,,0,,0,
7691,"C.                  ","utca","Vasas",0,,0,
7627,"Cassian","utca",,0,,0,
7634,"Cikk-Cakk","utca",,0,,0,
7634,"Cincér              ","dűlő",,0,,0,
7630,"Cinege              ","dűlő",,0,,0,
7630,"Cinka Panna         ","utca",,0,,0,
7635,"Cinke               ","dűlő",,0,,0,
7634,"Cirfandli           ","utca",,0,,0,
7621,"Ciszterci           ","köz",,0,,0,
7621,"Citrom              ","utca",,0,,0,
7629,"Corvin              ","utca",,0,,0,
7630,"Csaba               ","utca",,0,,0,
7627,"Csákány             ","utca",,0,,0,
7632,"Csalogány           ","utca",,0,,0,
7634,"Csalogány           ","dűlő",,0,,0,
7634,"Csap                ","dűlő",,0,,0,
7634,"Csap                ","köz",,0,,0,
7691,"Csap                ","utca","Vasas",0,,0,
7628,"Csapó János         ","utca",,0,,0,
7627,"Csárda              ","utca",,0,,0,
7691,"Csarnok             ","köz","Vasas",0,,0,
7629,"Csekey István       ","utca",,0,,0,
7623,"Csend               ","utca",,0,,0,
