"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
6728,"1.","utca","Baktó",0,,0,
6728,"10.","utca","Baktó",0,,0,
6728,"11.","utca","Baktó",0,,0,
6728,"12.","utca","Baktó",0,,0,
6728,"13.","utca","Baktó",0,,0,
6728,"14.","utca","Baktó",0,,0,
6728,"15.","utca","Baktó",0,,0,
6728,"16.","utca","Baktó",0,,0,
6728,"17.","utca","Baktó",0,,0,
6728,"18.","utca","Baktó",0,,0,
6728,"19.","utca","Baktó",0,,0,
6728,"2.","utca","Baktó",0,,0,
6728,"20.","utca","Baktó",0,,0,
6728,"21.","utca","Baktó",0,,0,
6728,"22.","utca","Baktó",0,,0,
6728,"23.","utca","Baktó",0,,0,
6728,"24.","utca","Baktó",0,,0,
6728,"25.","utca","Baktó",0,,0,
6728,"26.","utca","Baktó",0,,0,
6728,"27.","utca","Baktó",0,,0,
6728,"28.","utca","Baktó",0,,0,
6728,"29.","utca","Baktó",0,,0,
6728,"3.","utca","Baktó",0,,0,
6728,"30.","utca","Baktó",0,,0,
6728,"31.","utca","Baktó",0,,0,
6728,"32.","utca","Baktó",0,,0,
6728,"33.","utca","Baktó",0,,0,
6728,"34.","utca","Baktó",0,,0,
6728,"35.","utca","Baktó",0,,0,
6728,"36.","utca","Baktó",0,,0,
6728,"37.","utca","Baktó",0,,0,
6728,"38.","utca","Baktó",0,,0,
6728,"39.","utca","Baktó",0,,0,
6728,"4.","utca","Baktó",0,,0,
6728,"40.","utca","Baktó",0,,0,
6728,"41.","utca","Baktó",0,,0,
6728,"42.","utca","Baktó",0,,0,
6728,"43.","utca","Baktó",0,,0,
6728,"44.","utca","Baktó",0,,0,
6728,"45.","utca","Baktó",0,,0,
6728,"46.","utca","Baktó",0,,0,
6728,"47.","utca","Baktó",0,,0,
6728,"48.","utca","Baktó",0,,0,
6728,"49.","utca","Baktó",0,,0,
6728,"5.","utca","Baktó",0,,0,
6728,"50.","utca","Baktó",0,,0,
6728,"51.","utca","Baktó",0,,0,
6728,"52.","utca","Baktó",0,,0,
6728,"53.","utca","Baktó",0,,0,
6728,"54.","utca","Baktó",0,,0,
6728,"55.","utca","Baktó",0,,0,
6728,"56.","utca","Baktó",0,,0,
6728,"57.","utca","Baktó",0,,0,
6728,"58.","utca","Baktó",0,,0,
6728,"59.","utca","Baktó",0,,0,
6728,"6.","utca","Baktó",0,,0,
6728,"7.","utca","Baktó",0,,0,
6728,"8.","utca","Baktó",0,,0,
6728,"9.","utca","Baktó",0,,0,
6726,"Aba                 ","utca",,0,,0,
6726,"Ábel                ","utca",,0,,0,
6753,"Abony               ","utca","Tápé",0,,0,
6727,"Acél                ","utca",,0,,0,
6724,"Ács                 ","utca",,0,,0,
6729,"Adai                ","utca",,0,,0,
6753,"Ádám                ","utca","Tápé",0,,0,
6791,"Adél                ","köz","Kiskundorozsma",0,,0,
6753,"Adorján             ","utca","Tápé",0,,0,
6722,"Ady                 ","tér",,0,,0,
6791,"Áfonya","utca","Kiskundorozsma",0,,0,
6723,"Ág                  ","utca",,0,,0,
6726,"Ágnes               ","utca",,0,,0,
6723,"Agyagos             ","utca",,0,,0,
6710,"Ajtony              ","köz","Szentmihály",0,,0,
6726,"Akácfa              ","utca",,0,,0,
6753,"Ákos                ","utca","Tápé",0,,0,
6722,"Alföldi             ","utca",,1,,9,
6722,"Alföldi             ","utca",,2,,12,
6725,"Alföldi             ","utca",,-3,,0,
6727,"Algyői","út",,-1,,0,
6728,"Algyői ","út",,-2,,0,
6729,"Alig                ","utca",,0,,0,
6725,"Alkony              ","utca",,0,,0,
6728,"Alkotmány           ","utca",,0,,0,
6725,"Állomás             ","utca",,0,,0,
6728,"Alma                ","utca",,0,,0,
6710,"Álmos               ","köz","Szentmihály",0,,0,
6791,"Alpári Gyula        ","utca","Kiskundorozsma",0,,0,
6726,"Alsó-kikötő         ","sor",,0,,0,
6725,"Alsó-Nyomás         ","sor",,0,,0,
6725,"Alsó-Tisza          ","part",,0,,0,
6725,"Alsóvárosi Feketeföld",,,0,,0,
6726,"Ambrus              ","utca",,0,,0,
6757,"Ananász","utca","Gyálarét",0,,0,
6726,"András              ","utca",,0,,0,
6791,"Ánizs","utca","Kiskundorozsma",0,,0,
6726,"Anna                ","utca",,0,,0,
6722,"Apáca               ","utca",,3,,4,
6725,"Apáca               ","utca",,-3,,0,
6757,"Apály               ","utca","Gyálarét",0,,0,
6720,"Apáthy              ","utca",,0,,0,
6729,"Apatini             ","utca",,0,,0,
6771,"Apátság             ","utca","Szőreg",0,,0,
6720,"Aradi vértanúk      ","tér",,0,,0,
6726,"Aranka              ","utca",,0,,0,
6720,"Arany János         ","utca",,0,,0,
6726,"Aranyosi            ","utca",,0,,0,
6725,"Araszt              ","utca",,0,,0,
6753,"Arató               ","utca","Tápé",0,,0,
6721,"Árbóc               ","utca",,0,,0,
6753,"Árnyas              ","utca","Tápé",0,,0,
6791,"Árnyika","utca","Kiskundorozsma",0,,0,
6753,"Árok                ","utca","Tápé",0,,0,
6791,"Árpa                ","utca","Kiskundorozsma",0,,0,
6720,"Árpád               ","tér",,0,,0,
6724,"Árva                ","utca",,0,,0,
6753,"Árvácska            ","utca","Tápé",0,,0,
6724,"Árvíz               ","utca",,0,,0,
6753,"Ásványhát           ","utca","Tápé",0,,0,
6726,"Asztalos            ","utca",,0,,0,
6726,"Átrium              ","köz",,0,,0,
6722,"Attila              ","utca",,0,,0,
6723,"Avar                ","utca",,0,,0,
6727,"Babér               ","utca",,0,,0,
6726,"Babits Mihály       ","utca",,0,,0,
6757,"Bacsó Béla          ","utca","Gyálarét",0,,0,
6726,"Bagoly              ","utca",,0,,0,
6728,"Bajai","út",,0,,0,
6728,"Bajmóczi            ","utca",,0,,0,
6727,"Bajnok              ","utca",,0,,0,
6720,"Bajza               ","utca",,0,,0,
6724,"Bakay Nándor        ","utca",,0,,0,
6727,"Bakonyi             ","utca",,0,,0,
6728,"Baktói              ","utca",,0,,0,
6726,"Bal fasor","fasor",,0,,0,
6791,"Balabás             ","utca","Kiskundorozsma",0,,0,
6791,"Balajthy            ","utca","Kiskundorozsma",0,,0,
6727,"Balatoni            ","utca",,0,,0,
6729,"Balázs Béla         ","utca",,0,,0,
6724,"Bálint Sándor       ","utca",,0,,0,
6791,"Ballada             ","utca","Kiskundorozsma",0,,0,
6725,"Ballagi-tó          ","sor",,0,,0,
6725,"Bálvány             ","utca",,0,,0,
6757,"Banán","utca","Gyálarét",0,,0,
6727,"Bánk bán            ","utca",,0,,0,
6725,"Bánomkert           ","sor",,0,,0,
6771,"Bánya               ","utca","Szőreg",0,,0,
6757,"Barack","utca","Gyálarét",0,,0,
6725,"Barát               ","utca",,0,,0,
6791,"Barátság            ","utca","Kiskundorozsma",0,,0,
6771,"Barázda             ","utca","Szőreg",0,,0,
6721,"Bárka               ","utca",,0,,0,
6727,"Barna","utca",,0,,0,
6726,"Baross László       ","utca",,0,,0,
6723,"Bártfai             ","utca",,0,,0,
6722,"Bartók              ","tér",,0,,0,
6724,"Bartucz Lajos","utca",,0,,0,
6791,"Basahíd             ","utca","Kiskundorozsma",0,,0,
6727,"Bástya              ","sor",,0,,0,
6722,"Batthyány           ","utca",,0,,0,
6710,"Bazsalikom          ","utca","Szentmihály",0,,0,
6723,"Becsei              ","utca",,0,,0,
6722,"Bécsi               ","körút",,-1,,0,
6725,"Bécsi               ","körút",,-2,,0,
6722,"Béke                ","utca",,0,,0,
6720,"Béla                ","utca",,0,,0,
6753,"Belvíz              ","utca","Tápé",0,,0,
6725,"Bem                 ","utca",,0,,0,
6791,"Bence               ","utca","Kiskundorozsma",0,,0,
6753,"Bencefahát          ","utca","Tápé",0,,0,
6727,"Benczúr             ","utca",,0,,0,
6721,"Bercsényi           ","utca",,0,,0,
6753,"Beregi              ","sor","Tápé",0,,0,
6753,"Berettyó            ","utca","Tápé",0,,0,
6724,"Beretzk Péter       ","utca",,0,,0,
6791,"Berkenye            ","utca","Kiskundorozsma",0,,0,
6726,"Bérkert             ","utca",,0,,0,
6721,"Berlini             ","körút",,-2,,0,
6724,"Berlini             ","körút",,-1,,0,
6726,"Bertalan            ","utca",,0,,0,
6720,"Berzsenyi           ","utca",,0,,0,
6753,"Beszterce           ","utca","Tápé",0,,0,
6791,"Bethlen Gábor       ","utca","Kiskundorozsma",0,,0,
6726,"Bíbic               ","utca",,0,,0,
6724,"Bibó István","utca",,0,,0,
6723,"Bihari              ","utca",,0,,0,
6723,"Bimbó               ","utca",,0,,0,
6726,"Birkózó             ","köz",,0,,0,
6757,"Birs","utca","Gyálarét",0,,0,
6723,"Bite Pál            ","utca",,0,,0,
6726,"Blaha Lujza         ","utca",,0,,0,
6721,"Bocskai             ","utca",,0,,0,
